,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2023-06-03 01:00:00,993.7,996.9,39.5,19.4,19.4,22.5,100,2.4,315.0,,,-999,-999,,,1.78
2023-06-03 02:00:00,993.9,997.1,34.0,19.4,19.4,22.5,100,0.8,292.5,,,-999,-999,,,3.38
2023-06-03 03:00:00,993.9,997.1,10.5,19.3,19.3,22.4,100,2.4,315.0,,,-999,-999,,,4.72
2023-06-03 04:00:00,994.4,997.6,5.0,19.2,19.2,22.3,100,1.7,292.5,,0.0,-999,-999,,,7.42
2023-06-03 05:00:00,994.6,997.8,6.5,19.2,19.2,22.3,100,1.7,292.5,0.0,0.0,-999,-999,,,3.83
2023-06-03 06:00:00,995.2,998.4,6.5,19.3,19.3,22.4,100,1.0,270.0,0.0,0.04,-999,-999,,,5.66
2023-06-03 07:00:00,995.6,998.8,4.5,18.8,18.3,21.1,97,0.9,135.0,0.0,0.13,-999,-999,,,6.82
2023-06-03 08:00:00,995.5,998.7,2.0,18.4,18.1,20.7,98,0.3,67.5,0.0,0.21,-999,-999,,,8.49
2023-06-03 09:00:00,996.1,999.3,2.0,18.3,18.0,20.6,98,0.1,,0.0,0.16,-999,-999,,,7.51
2023-06-03 10:00:00,995.8,999.0,1.5,18.1,17.6,20.1,97,2.8,112.5,0.0,0.25,-999,-999,,,8.45
2023-06-03 11:00:00,995.8,999.0,0.0,18.5,17.5,20.0,94,2.4,112.5,0.0,0.95,-999,-999,,,20.0
2023-06-03 12:00:00,996.1,999.3,,18.8,17.1,19.5,90,2.1,90.0,0.0,1.31,-999,-999,,,20.0
2023-06-03 13:00:00,995.6,998.8,,20.2,17.0,19.4,82,2.9,112.5,0.1,2.01,-999,-999,,,20.0
2023-06-03 14:00:00,995.3,998.4,,20.5,16.9,19.3,80,2.8,112.5,0.2,2.23,-999,-999,,,20.0
2023-06-03 15:00:00,995.5,998.6,,21.4,17.2,19.6,77,2.5,112.5,0.8,2.57,-999,-999,,,20.0
2023-06-03 16:00:00,995.7,998.8,,21.6,17.2,19.6,76,2.6,112.5,0.9,1.95,-999,-999,,,20.0
2023-06-03 17:00:00,996.1,999.2,,21.3,16.9,19.3,76,2.1,90.0,1.0,1.33,-999,-999,,,18.7
2023-06-03 18:00:00,997.1,1000.3,,19.8,16.8,19.2,83,0.9,67.5,0.9,0.64,-999,-999,,,20.0
2023-06-03 19:00:00,998.1,1001.3,,17.9,17.3,19.7,96,1.3,112.5,0.0,0.06,-999,-999,,,17.2
2023-06-03 20:00:00,999.6,1002.8,,16.7,16.6,18.8,99,0.9,247.5,,0.0,-999,-999,,,5.63
2023-06-03 21:00:00,1000.5,1003.7,,16.6,16.6,18.9,100,1.1,67.5,,,-999,-999,,,6.97
2023-06-03 22:00:00,1001.2,1004.4,,15.4,15.4,17.5,100,1.2,315.0,,,-999,-999,,,0.45
2023-06-03 23:00:00,1001.8,1005.1,,13.7,13.2,15.2,97,1.8,292.5,,,-999,-999,,,20.0
2023-06-04 00:00:00,1002.1,1005.4,,12.7,12.2,14.2,97,1.3,247.5,,,-999,-999,,,20.0
